address|lat|lon|state|district
Pahroopur B.O|27.037379|80.945655|UTTAR PRADESH|BARA BANKI
Damapur B.O|22.240615|81.523985|CHATTISGARH|KABEERDHAM
Civil Aerodram S.O|24.795452|84.999431|BIHAR|MUNGER
Peepli B.O|28.421849|75.731334|RAJASTHAN|JHUNJHUNU
Metlakunta B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Paigamberpur B.O|27.154108|81.060286|UTTAR PRADESH|BARA BANKI
Khanapur Chapra B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Khanapur Khusti B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Khanaipur Karangaon B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Gamharia B.O|22.796455|86.102486|JHARKHAND|PURBI SINGHBHUM
Chawad B.O|20.37813|81.529472|CHATTISGARH|KORIYA
Daihandih B.O|21.919542|81.155455|CHATTISGARH|KABEERDHAM
Choukiya B.O|24.795452|84.999431|BIHAR|MUNGER
Agarkhed S.O|17.304394|76.027586|KARNATAKA|BIJAPUR
Chowk S.O|24.796169|85.010171|BIHAR|MUNGER
Chanpatia Bazar S.O|26.818032|84.502873|BIHAR|PASHCHIM CHAMPARAN
Chanpatia R S S.O|26.944519|84.537945|BIHAR|PASHCHIM CHAMPARAN
Hironmoypur B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Gandanata B.O|22.363878|86.74918|JHARKHAND|PURBI SINGHBHUM
Agasanal B.O|17.052255|75.769126|KARNATAKA|BIJAPUR
Baramulla H.O|34.19905|74.34995|JAMMU & KASHMIR|BARAMULA
Khara B.O|26.51056|81.42362|UTTAR PRADESH|RAE BARELI
Chauhatta B.O|27.232316|84.624366|BIHAR|PASHCHIM CHAMPARAN
Baltana S.O|30.674855|76.824924|PUNJAB|CHANDIGARH
Kharwan B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Chikasar B.O|20.163942|73.108405|GUJARAT|BANAS KANTHA
Daboor B.O|24.805233|84.715882|BIHAR|MUNGER
Chasagurjang B.O|20.844403|85.151082|ODISHA|ANUGUL
Abbihal B.O|16.405678|75.914387|KARNATAKA|BIJAPUR
Kanabasti B.O|25.156431|93.012543|ASSAM|CACHAR
Kanaan B.O|25.151007|93.118233|ASSAM|CACHAR
Civil Lines S.O (Gaya)|24.791841|85.003033|BIHAR|MUNGER
Afjalpur B.O|26.702896|77.72804|RAJASTHAN|DHAULPUR
Pateni B.O|27.6|78.05|UTTAR PRADESH|AGRA
Gelhan B.O|33.378645|74.288005|JAMMU & KASHMIR|RAJOURI
Patusari B.O|28.042388|75.419905|RAJASTHAN|JHUNJHUNU
Mawadhar S.O|29.868768|78.838264|UTTARAKHAND|GARHWAL
Bhanpur B.O|22.582181|74.188582|GUJARAT|DOHAD
Koka B.O|27.52675|78.106907|UTTAR PRADESH|MATHURA
Mawakot B.O|29.774182|78.463117|UTTARAKHAND|GARHWAL
Bankote B.O|34.19905|74.34995|JAMMU & KASHMIR|BARAMULA
Chaubey Tola B.O|26.958518|84.334484|BIHAR|PASHCHIM CHAMPARAN
Gulandar B.O|25.466853|88.085191|WEST BENGAL|UTTAR DINAJPUR
Ghania B.O|33.378645|74.288005|JAMMU & KASHMIR|RAJOURI
Hotor B.O|22.517081|88.294378|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Lokabati B.O|22.994405|88.105949|WEST BENGAL|HUGLI
Kurigachi B.O|22.595769|88.263639|WEST BENGAL|HAORA
Chiraili B.O|24.938198|85.069394|BIHAR|MUNGER
Thiruvananthapuram G.P.O.|8.524139|76.936638|KERALA|THIRUVANANTHAPURAM
Lohepar B.O|27.120872|83.770369|UTTAR PRADESH|KISHANGANJ
Champapur Gonauli B.O|27.340983|83.953775|BIHAR|PASHCHIM CHAMPARAN
Pilani S.O|28.37|75.6|RAJASTHAN|JHUNJHUNU
Pilana B.O|28.939898|77.369202|UTTAR PRADESH|BAGHPAT
Jamira B.O|22.340471|88.155364|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Villigram B.O|19.813382|85.831465|ODISHA|
Pali B.O|29.510817|79.899679|UTTARAKHAND|
Chiriyawan B.O|24.795452|84.999431|BIHAR|MUNGER
Kodra B.O|26.23|81.25|UTTAR PRADESH|RAE BARELI
Kilavaippar B.O|8.999971|78.254022|TAMIL NADU|THOOTHUKKUDI
Maigram B.O|22.931866|87.798097|WEST BENGAL|HUGLI
Kilavilathikulam B.O|9.140568|78.213435|TAMIL NADU|THOOTHUKKUDI
Aligarh B.O|26.680117|77.633566|RAJASTHAN|DHAULPUR
Chitreswari B.O|19.813382|85.831465|ODISHA|
Kilaramasamypuram B.O|8.764166|78.134836|TAMIL NADU|THOOTHUKKUDI
Kilakarandai B.O|9.260956|78.070899|TAMIL NADU|THOOTHUKKUDI
Phulera B.O|28.813014|77.388425|UTTAR PRADESH|BAGHPAT
Kilamudiman B.O|8.961866|77.998845|TAMIL NADU|THOOTHUKKUDI
Palia B.O|27.164875|81.017837|UTTAR PRADESH|BARA BANKI
Palhari B.O|26.883073|81.370188|UTTAR PRADESH|BARA BANKI
Barota B.O|31.438797|76.726437|HIMACHAL PRADESH|BILASPUR
Jalghara B.O|22.238976|88.345791|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Mogalmadka B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Bandipora S.O|34.418838|74.635652|JAMMU & KASHMIR|BARAMULA
Bandipora Chowk B.O|34.270016|74.498133|JAMMU & KASHMIR|BARAMULA
Mainan B.O|22.703192|87.803382|WEST BENGAL|HUGLI
Mullikorai B.O|11.491604|76.733652|TAMIL NADU|KRISHNAGIRI
Jalkura B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Mulligoor B.O|11.280251|76.618888|TAMIL NADU|KRISHNAGIRI
Pilod B.O|28.379771|75.779299|RAJASTHAN|JHUNJHUNU
Balhama B.O|34.241717|74.303021|JAMMU & KASHMIR|BARAMULA
Liluah S.O|22.617069|88.319072|WEST BENGAL|HAORA
N R Banga S.O|31.176938|75.999242|PUNJAB|SHAHID BHAGAT SINGH NAGAR
Mittasadguda B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Bauhat Kasol B.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Makalpur B.O|22.928165|88.170605|WEST BENGAL|HUGLI
Paithani B.O|29.725885|79.355004|UTTARAKHAND|
Painsia B.O|29.589241|79.646666|UTTARAKHAND|
Balkote B.O|34.054623|74.079481|JAMMU & KASHMIR|BARAMULA
Muzaffarpur B.O|31.043655|76.226909|PUNJAB|SHAHID BHAGAT SINGH NAGAR
Hatwar B.O|26.044383|87.89283|WEST BENGAL|UTTAR DINAJPUR
Chitabkhurd B.O|24.795452|84.999431|BIHAR|MUNGER
Mudugula B.O|11.341321|76.682213|TAMIL NADU|KRISHNAGIRI
Mudumalai Sanctuary B.O|11.589603|76.491365|TAMIL NADU|KRISHNAGIRI
Charama S.O|20.4845|81.372261|CHATTISGARH|KORIYA
Makhla S.O|22.676132|88.317766|WEST BENGAL|HUGLI
Charbhata B.O|20.422302|81.710315|CHATTISGARH|KORIYA
Chamukha B.O|26.863625|84.346317|BIHAR|PASHCHIM CHAMPARAN
Chargaon B.O|20.018049|81.014664|CHATTISGARH|KORIYA
Bassi Kehloor S.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Machhaligaon B.O|27.107018|83.325405|UTTAR PRADESH|KISHANGANJ
Chhendipada S.O|21.085133|84.875034|ODISHA|ANUGUL
Miraspally B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Musapur S.O|31.134643|76.045263|PUNJAB|SHAHID BHAGAT SINGH NAGAR
Etikheda B.O|21.4598|80.195|MAHARASHTRA|GONDIYA
Pharat B.O|28.355059|75.731698|RAJASTHAN|JHUNJHUNU
Hemtabad B.O|25.672798|88.224208|WEST BENGAL|UTTAR DINAJPUR
Penth Gaon B.O|27.6|78.05|UTTAR PRADESH|AGRA
Jamtala B.O|22.1085|88.572234|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Singhpura B.O|30.815644|76.576276|PUNJAB|CHANDIGARH
Panduwakhal B.O|29.589241|79.646666|UTTARAKHAND|
Pipalgaon B.O|27.6|78.05|UTTAR PRADESH|AGRA
Chichwara B.O|24.795452|84.999431|BIHAR|MUNGER
Motlampally B.O|19.011055|78.100847|TELANGANA|MAHBUBNAGAR
Bararhin B.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Ghaspada B.O|22.268273|86.838842|JHARKHAND|PURBI SINGHBHUM
Jafarpur B.O|22.416887|88.487004|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Pithusar B.O|28.363164|75.248635|RAJASTHAN|JHUNJHUNU
Chhatiyana B.O|24.795452|84.999431|BIHAR|MUNGER
Mothighanapur B.O|16.762411|78.076494|TELANGANA|MAHBUBNAGAR
Madhurpur B.O|22.865047|87.881977|WEST BENGAL|HUGLI
Jadabpurhat B.O|22.135238|88.401604|WEST BENGAL|SOUTH TWENTY FOUR PARGANAS
Kota B.O|27.55755|77.999559|UTTAR PRADESH|MATHURA
Chhatubagh B.O|24.795452|84.999431|BIHAR|MUNGER
Ghatsila S.O|22.586112|86.479278|JHARKHAND|PURBI SINGHBHUM
Molthi B.O|30.07482|78.79968|UTTARAKHAND|GARHWAL
Hassan B.O|25.724592|88.530048|WEST BENGAL|UTTAR DINAJPUR
Baragoan B.O|31.342943|76.762507|HIMACHAL PRADESH|BILASPUR
Sabji Mandi Dholpur S.O|26.702518|77.893391|RAJASTHAN|DHAULPUR
Lakshmanpur B.O|22.635956|88.274098|WEST BENGAL|HAORA
